Date,Close/Last,Open,High,Low,Change ,Percentage
08/28/2023,4433.31,4426.03,4439.56,4414.98,7.28,0.164
08/25/2023,4405.71,4389.38,4418.46,4356.29,16.33,0.372
08/24/2023,4376.31,4455.16,4458.3,4375.55,-78.85,-1.77
08/23/2023,4436.01,4396.44,4443.18,4396.44,39.57,0.9
08/22/2023,4387.55,4415.33,4418.59,4382.77,-27.78,-0.629
08/21/2023,4399.77,4380.28,4407.55,4360.3,19.49,0.445
08/18/2023,4369.71,4344.88,4381.82,4335.31,24.83,0.571
08/17/2023,4370.36,4416.32,4421.17,4364.83,-45.96,-1.041
08/16/2023,4404.33,4433.79,4449.95,4403.55,-29.46,-0.664
08/15/2023,4437.86,4478.87,4478.87,4432.19,-41.01,-0.916
08/14/2023,4489.72,4458.13,4490.33,4453.44,31.59,0.709
8/11/2023,4464.05,4450.69,4476.23,4443.98,13.36,0.3
8/10/2023,4468.83,4487.16,4527.37,4457.92,-18.33,-0.408
8/9/2023,4467.71,4501.57,4502.44,4461.33,-33.86,-0.752
8/8/2023,4499.38,4498.03,4503.31,4464.39,1.35,0.03
8/7/2023,4518.44,4491.58,4519.84,4491.15,26.86,0.598
8/4/2023,4478.03,4513.96,4540.34,4474.55,-35.93,-0.796
8/3/2023,4501.89,4494.27,4519.49,4485.54,7.62,0.17
8/2/2023,4513.39,4550.93,4550.93,4505.75,-37.54,-0.825
8/1/2023,4576.73,4578.83,4584.62,4567.53,-2.1,-0.046
07/31/2023,4588.96,4584.82,4594.22,4573.14,4.14,0.09
07/28/2023,4582.23,4565.75,4590.16,4564.01,16.48,0.361
07/27/2023,4537.41,4598.26,4607.07,4528.56,-60.85,-1.323
07/26/2023,4566.75,4558.96,4582.47,4547.58,7.79,0.171
07/25/2023,4567.46,4555.19,4580.62,4552.42,12.27,0.269
07/24/2023,4554.64,4543.39,4563.41,4541.29,11.25,0.248
07/21/2023,4536.34,4550.16,4555,4535.79,-13.82,-0.304
07/20/2023,4534.87,4554.38,4564.74,4527.56,-19.51,-0.428
07/19/2023,4565.72,4563.87,4578.43,4557.48,1.85,0.041
07/18/2023,4554.98,4521.78,4562.3,4514.59,33.2,0.734
07/17/2023,4522.79,4508.86,4532.85,4504.9,13.93,0.309
07/14/2023,4505.42,4514.61,4527.76,4499.56,-9.19,-0.204
07/13/2023,4510.04,4491.5,4517.38,4489.36,18.54,0.413
7/12/2023,4472.16,4467.69,4488.34,4463.23,4.47,0.1
7/11/2023,4439.26,4415.55,4443.64,4408.46,23.71,0.537
7/10/2023,4409.53,4394.23,4412.6,4389.92,15.3,0.348
7/7/2023,4398.95,4404.54,4440.39,4397.4,-5.59,-0.127
7/6/2023,4411.59,4422.62,4422.62,4385.05,-11.03,-0.249
7/5/2023,4446.82,4442.04,4454.06,4436.61,4.78,0.108
7/3/2023,4455.59,4450.48,4456.46,4442.29,5.11,0.115
06/30/2023,4450.38,4422.44,4458.48,4422.44,27.94,0.632
06/29/2023,4396.44,4374.94,4398.39,4371.97,21.5,0.491
06/28/2023,4376.86,4367.48,4390.35,4360.22,9.38,0.215
06/27/2023,4378.41,4337.36,4384.42,4335,41.05,0.946
06/26/2023,4328.82,4344.84,4362.06,4328.08,-16.02,-0.369
06/23/2023,4348.33,4354.17,4366.55,4341.34,-5.84,-0.134
06/22/2023,4381.89,4355.4,4382.25,4351.82,26.49,0.608
06/21/2023,4365.69,4380.01,4386.22,4360.14,-14.32,-0.327
06/20/2023,4388.71,4396.11,4400.15,4367.19,-7.4,-0.168
06/16/2023,4409.59,4440.95,4448.47,4407.44,-31.36,-0.706
06/15/2023,4425.84,4365.33,4439.2,4362.6,60.51,1.386
06/14/2023,4372.59,4366.29,4391.82,4337.85,6.3,0.144
06/13/2023,4369.01,4352.61,4375.37,4349.31,16.4,0.377
6/12/2023,4338.93,4308.32,4340.13,4304.37,30.61,0.71
6/9/2023,4298.86,4304.88,4322.62,4291.7,-6.02,-0.14
6/8/2023,4293.93,4268.69,4298.01,4261.07,25.24,0.591
6/7/2023,4267.52,4285.47,4299.19,4263.96,-17.95,-0.419
6/6/2023,4283.85,4271.34,4288.33,4263.09,12.51,0.293
6/5/2023,4273.79,4282.99,4299.28,4266.82,-9.2,-0.215
6/2/2023,4282.37,4241.01,4290.67,4241.01,41.36,0.975
6/1/2023,4221.02,4183.03,4232.43,4171.64,37.99,0.908
05/31/2023,4179.83,4190.74,4195.44,4166.15,-10.91,-0.26
05/30/2023,4205.52,4226.71,4231.1,4192.18,-21.19,-0.501
05/26/2023,4205.45,4156.16,4212.87,4156.16,49.29,1.186
05/25/2023,4151.28,4155.71,4165.74,4129.73,-4.43,-0.107
05/24/2023,4115.24,4132.96,4132.96,4103.98,-17.72,-0.429
05/23/2023,4145.58,4176.8,4185.68,4142.54,-31.22,-0.747
05/22/2023,4192.63,4190.78,4209.22,4179.68,1.85,0.044
05/19/2023,4191.98,4204.15,4212.91,4180.2,-12.17,-0.289
05/18/2023,4198.05,4157.68,4202.2,4153.5,40.37,0.971
05/17/2023,4158.77,4122.85,4164.67,4113.62,35.92,0.871
05/16/2023,4109.9,4127.95,4135.54,4109.86,-18.05,-0.437
05/15/2023,4136.28,4126.65,4141.25,4110.27,9.63,0.233
5/12/2023,4124.08,4138.54,4143.74,4099.12,-14.46,-0.349
5/11/2023,4130.62,4132.24,4132.8,4109.29,-1.62,-0.039
5/10/2023,4137.64,4143.74,4154.28,4098.92,-6.1,-0.147
5/9/2023,4119.17,4124.25,4130.35,4116.65,-5.08,-0.123
5/8/2023,4138.12,4136.98,4142.3,4123.81,1.14,0.028
5/5/2023,4136.25,4084.73,4147.02,4084.73,51.52,1.261
5/4/2023,4061.22,4082.55,4082.61,4048.28,-21.33,-0.522
5/3/2023,4090.75,4122.25,4148.3,4088.86,-31.5,-0.764
5/2/2023,4119.58,4164.1,4164.1,4089.72,-44.52,-1.069
5/1/2023,4167.87,4166.79,4186.92,4164.12,1.08,0.026
04/28/2023,4169.48,4129.63,4170.06,4127.18,39.85,0.965
04/27/2023,4135.35,4075.29,4138.24,4075.29,60.06,1.474
04/26/2023,4055.99,4087.78,4089.67,4049.35,-31.79,-0.778
04/25/2023,4071.63,4126.43,4126.43,4071.38,-54.8,-1.328
04/24/2023,4137.04,4132.07,4142.41,4117.77,4.97,0.12
04/21/2023,4133.52,4132.14,4138.02,4113.86,1.38,0.033
04/20/2023,4129.79,4130.48,4148.57,4114.57,-0.69,-0.017
04/19/2023,4154.52,4139.33,4162.57,4134.49,15.19,0.367
04/18/2023,4154.87,4164.26,4169.48,4140.36,-9.39,-0.225
04/17/2023,4151.32,4137.17,4151.72,4123.18,14.15,0.342
04/14/2023,4137.64,4140.11,4163.19,4113.2,-2.47,-0.06
04/13/2023,4146.22,4100.04,4150.26,4099.4,46.18,1.126
4/12/2023,4091.95,4121.72,4134.37,4086.94,-29.77,-0.722
4/11/2023,4108.94,4110.29,4124.26,4102.61,-1.35,-0.033
4/10/2023,4109.11,4085.2,4109.5,4072.55,23.91,0.585
4/6/2023,4105.02,4081.15,4107.32,4069.84,23.87,0.585
4/5/2023,4090.38,4094.5,4099.69,4072.56,-4.12,-0.101
4/4/2023,4100.6,4128.03,4133.13,4086.87,-27.43,-0.664
4/3/2023,4124.51,4102.2,4127.66,4098.79,22.31,0.544
03/31/2023,4109.31,4056.18,4110.75,4056.18,53.13,1.31
03/30/2023,4050.83,4046.74,4057.85,4032.1,4.09,0.101
03/29/2023,4027.81,3999.53,4030.59,3999.53,28.28,0.707
03/28/2023,3971.27,3974.13,3979.2,3951.53,-2.86,-0.072
03/27/2023,3977.53,3982.93,4003.83,3970.49,-5.4,-0.136
03/24/2023,3970.99,3939.21,3972.74,3909.16,31.78,0.807
03/23/2023,3948.72,3959.21,4007.66,3919.05,-10.49,-0.265
03/22/2023,3936.97,4002.04,4039.49,3936.17,-65.07,-1.626
03/21/2023,4002.87,3975.89,4009.08,3971.19,26.98,0.679
03/20/2023,3951.57,3917.47,3956.62,3916.89,34.1,0.87
03/17/2023,3916.64,3958.69,3958.91,3901.27,-42.05,-1.062
03/16/2023,3960.28,3878.93,3964.46,3864.11,81.35,2.097
03/15/2023,3891.93,3876.74,3894.26,3838.24,15.19,0.392
03/14/2023,3919.29,3894.01,3937.29,3873.63,25.28,0.649
03/13/2023,3855.76,3835.12,3905.05,3808.86,20.64,0.538
3/10/2023,3861.59,3912.77,3934.05,3846.32,-51.18,-1.308
3/9/2023,3918.32,3998.66,4017.81,3908.7,-80.34,-2.009
3/8/2023,3992.01,3987.55,4000.41,3969.76,4.46,0.112
3/7/2023,3986.37,4048.26,4050,3980.31,-61.89,-1.529
3/6/2023,4048.42,4055.15,4078.49,4044.61,-6.73,-0.166
3/3/2023,4045.64,3998.02,4048.29,3995.17,47.62,1.191
3/2/2023,3981.35,3938.68,3990.84,3928.16,42.67,1.083
3/1/2023,3951.39,3963.34,3971.73,3939.05,-11.95,-0.302
02/28/2023,3970.15,3977.19,3997.5,3968.98,-7.04,-0.177
02/27/2023,3982.24,3992.36,4018.05,3973.55,-10.12,-0.253
02/24/2023,3970.04,3973.24,3978.25,3943.08,-3.2,-0.081
02/23/2023,4012.32,4018.6,4028.3,3969.19,-6.28,-0.156
02/22/2023,3991.05,4001.83,4017.37,3976.9,-10.78,-0.269
02/21/2023,3997.34,4052.35,4052.35,3995.19,-55.01,-1.357
02/17/2023,4079.09,4077.39,4081.51,4047.95,1.7,0.042
02/16/2023,4090.41,4114.75,4136.54,4089.49,-24.34,-0.592
02/15/2023,4147.6,4119.5,4148.11,4103.98,28.1,0.682
02/14/2023,4136.13,4126.7,4159.77,4095.01,9.43,0.229
02/13/2023,4137.29,4096.62,4138.9,4092.67,40.67,0.993
2/10/2023,4090.46,4068.92,4094.36,4060.79,21.54,0.529
2/9/2023,4081.5,4144.25,4156.23,4069.67,-62.75,-1.514
2/8/2023,4117.86,4153.47,4156.85,4111.67,-35.61,-0.857
2/7/2023,4164,4105.35,4176.54,4088.39,58.65,1.429
2/6/2023,4111.08,4119.57,4124.63,4093.38,-8.49,-0.206
2/3/2023,4136.48,4136.69,4182.36,4123.36,-0.21,-0.005
2/2/2023,4179.76,4158.68,4195.44,4141.88,21.08,0.507
2/1/2023,4119.21,4070.07,4148.95,4037.2,49.14,1.207
01/31/2023,4076.6,4020.85,4077.16,4020.44,55.75,1.387
01/30/2023,4017.77,4049.27,4063.85,4015.55,-31.5,-0.778
01/27/2023,4070.56,4053.72,4094.21,4048.7,16.84,0.415
01/26/2023,4060.43,4036.08,4061.57,4013.29,24.35,0.603
01/25/2023,4016.22,3982.71,4019.55,3949.06,33.51,0.841
01/24/2023,4016.95,4001.74,4023.92,3989.79,15.21,0.38
01/23/2023,4019.81,3978.14,4039.31,3971.64,41.67,1.047
01/20/2023,3972.61,3909.04,3972.96,3897.86,63.57,1.626
01/19/2023,3898.85,3911.84,3922.94,3885.54,-12.99,-0.332
01/18/2023,3928.86,4002.25,4014.16,3926.59,-73.39,-1.834
01/17/2023,3990.97,3999.28,4015.39,3984.57,-8.31,-0.208
01/13/2023,3999.09,3960.6,4003.95,3947.67,38.49,0.972
1/12/2023,3983.17,3977.57,3997.76,3937.56,5.6,0.141
1/11/2023,3969.61,3932.35,3970.07,3928.54,37.26,0.948
1/10/2023,3919.25,3888.57,3919.83,3877.29,30.68,0.789
1/9/2023,3892.09,3910.82,3950.57,3890.42,-18.73,-0.479
1/6/2023,3895.08,3823.37,3906.19,3809.56,71.71,1.876
1/5/2023,3808.1,3839.74,3839.74,3802.42,-31.64,-0.824
1/4/2023,3852.97,3840.36,3873.16,3815.77,12.61,0.328
1/3/2023,3824.14,3853.29,3878.46,3794.33,-29.15,-0.756
12/30/2022,3839.5,3829.06,3839.85,3800.34,10.44,0.273
12/29/2022,3849.28,3805.45,3858.19,3805.45,43.83,1.152
12/28/2022,3783.22,3829.56,3848.32,3780.78,-46.34,-1.21
12/27/2022,3829.25,3843.34,3846.65,3813.22,-14.09,-0.367
12/23/2022,3844.82,3815.11,3845.8,3797.01,29.71,0.779
12/22/2022,3822.39,3853.26,3853.26,3764.49,-30.87,-0.801
12/21/2022,3878.44,3839.49,3889.82,3839.49,38.95,1.014
12/20/2022,3821.62,3810.47,3838.24,3795.62,11.15,0.293
12/19/2022,3817.66,3853.79,3854.86,3800.04,-36.13,-0.938
12/16/2022,3852.36,3890.91,3890.91,3827.91,-38.55,-0.991
12/15/2022,3895.75,3958.37,3958.37,3879.45,-62.62,-1.582
12/14/2022,3995.32,4015.54,4053.76,3965.65,-20.22,-0.504
12/13/2022,4019.65,4069.38,4100.96,3993.03,-49.73,-1.222
12/12/2022,3990.56,3939.29,3990.71,3935.3,51.27,1.302
12/9/2022,3934.38,3954.17,3977.02,3933.04,-19.79,-0.5
12/8/2022,3963.51,3947.79,3974.19,3935.83,15.72,0.398
12/7/2022,3933.92,3933.28,3957.57,3922.68,0.64,0.016
12/6/2022,3941.26,3996.63,4001.51,3918.39,-55.37,-1.385
